                                                            ZZ203S       1249125159937519332002402625                                                      20260101           
                                                            203B S       0541287069305008377001041125                                                      20260101           
1898000000CULLMAN, AL                                       203B S01780000541287069305008377001041125AL043ALABAMA                   CULLMAN COUNTY         2026010101780002025
3712000000OZARK, AL                                         203B S01300000541287069305008377001041125AL045ALABAMA                   DALE COUNTY            2026010101300002025
4282000000SELMA, AL                                         203B S00650000541287069305008377001041125AL047ALABAMA                   DALLAS COUNTY          2026010100970002010
2284000000FORT PAYNE, AL                                    203B S01030000541287069305008377001041125AL049ALABAMA                   DEKALB COUNTY          2026010101460002019
3386000000MONTGOMERY, AL                                    203B S02200000541287069305008377001041125AL051ALABAMA                   ELMORE COUNTY          2026010102200002025
9999900000NON-METRO                                         203B S01640000541287069305008377001041125AL053ALABAMA                   ESCAMBIA COUNTY        2026010102070002022
2346000000GADSDEN, AL                                       203B S02580000541287069305008377001041125AL055ALABAMA                   ETOWAH COUNTY          2026010102580002025
9999900000NON-METRO                                         203B S01190000541287069305008377001041125AL057ALABAMA                   FAYETTE COUNTY         2026010101190002025
4077000000RUSSELLVILLE, AL                                  203B S00980000541287069305008377001041125AL059ALABAMA                   FRANKLIN COUNTY        2026010100980002025
2002000000DOTHAN, AL                                        203B S01920000541287069305008377001041125AL061ALABAMA                   GENEVA COUNTY          2026010101920002025
4622000000TUSCALOOSA, AL                                    203B S02310000541287069305008377001041125AL063ALABAMA                   GREENE COUNTY          2026010102880002015
4622000000TUSCALOOSA, AL                                    203B S02310000541287069305008377001041125AL065ALABAMA                   HALE COUNTY            2026010102880002015
2002000000DOTHAN, AL                                        203B S01920000541287069305008377001041125AL067ALABAMA                   HENRY COUNTY           2026010101920002025
2002000000DOTHAN, AL                                        203B S01920000541287069305008377001041125AL069ALABAMA                   HOUSTON COUNTY         2026010101920002025
4246000000SCOTTSBORO, AL                                    203B S02240000541287069305008377001041125AL071ALABAMA                   JACKSON COUNTY         2026010102240002025
1382000000BIRMINGHAM, AL                                    203B S03170000541287069305008377001041125AL073ALABAMA                   JEFFERSON COUNT        2026010103170002025
9999900000NON-METRO                                         203B S01510000541287069305008377001041125AL075ALABAMA                   LAMAR COUNTY           2026010103520002022
2252000000FLORENCE-MUSCLE SHOALS, AL                        203B S01900000541287069305008377001041125AL077ALABAMA                   LAUDERDALE COUN        2026010101900002025
1946000000DECATUR, AL                                       203B S02080000541287069305008377001041125AL079ALABAMA                   LAWRENCE COUNTY        2026010102080002025
1222000000AUBURN-OPELIKA, AL                                203B S03710000541287069305008377001041125AL081ALABAMA                   LEE COUNTY             2026010103710002025
2662000000HUNTSVILLE, AL                                    203B S02950000541287069305008377001041125AL083ALABAMA                   LIMESTONE COUNT        2026010102950002025
3386000000MONTGOMERY, AL                                    203B S02200000541287069305008377001041125AL085ALABAMA                   LOWNDES COUNTY         2026010102200002025
1222000000AUBURN-OPELIKA, AL                                203B S03710000541287069305008377001041125AL087ALABAMA                   MACON COUNTY           2026010103710002025
2662000000HUNTSVILLE, AL                                    203B S02950000541287069305008377001041125AL089ALABAMA                   MADISON COUNTY         2026010102950002025
9999900000NON-METRO                                         203B S01390000541287069305008377001041125AL091ALABAMA                   MARENGO COUNTY         2026010101390002025
9999900000NON-METRO                                         203B S01400000541287069305008377001041125AL093ALABAMA                   MARION COUNTY          2026010101980002024
1070000000ALBERTVILLE, AL                                   203B S01900000541287069305008377001041125AL095ALABAMA                   MARSHALL COUNTY        2026010101900002025
3366000000MOBILE, AL                                        203B S01450000541287069305008377001041125AL097ALABAMA                   MOBILE COUNTY          2026010101450002025
9999900000NON-METRO                                         203B S00910000541287069305008377001041125AL099ALABAMA                   MONROE COUNTY          2026010101070002010
